District,Gender,aware-about-COVID-19
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,No
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Khulna,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Bagerhat,Male,Yes
Khulna,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Khulna,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Bagerhat,Male,Yes
Patuakhali,Male,Yes
Bagerhat,Female,Yes
Khulna,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Khulna,Female,Yes
Khulna,Female,Yes
Khulna,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Khulna,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Khulna,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Khulna,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,No
Patuakhali,Male,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Bagerhat,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Bagerhat,Male,Yes
Bagerhat,Male,No
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Bagerhat,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Bagerhat,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Bagerhat,Female,Yes
Khulna,Female,Yes
Bagerhat,Female,Yes
Patuakhali,Female,No
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Khulna,Male,Yes
Patuakhali,Male,Yes
Khulna,Female,Yes
Khulna,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Female,Yes
Patuakhali,Female,Yes
Patuakhali,Male,Yes
Patuakhali,Male,Yes
,,Yes
